亜（亞）	ア	亜流，亜麻，亜熱帯	　
哀	アイ　あわれ　あわれむ	哀愁，哀願，悲哀哀れ，哀れな話，哀れがる哀れむ，哀れみ	　
挨	アイ	挨拶	　
愛	アイ	愛情，愛読，恋愛	愛媛（えひめ）県
曖	アイ	曖昧	　
悪（惡）	アク　オ　わるい	悪事，悪意，醜悪悪寒，好悪，憎悪悪い，悪さ，悪者	　
握	アク　にぎる	握手，握力，掌握握る，握り，一握り	　
圧（壓）	アツ	圧力，圧迫，気圧	　
扱	あつかう	扱う，扱い，客扱い	　
宛	あてる	宛てる，宛先	⇔当てる，充てる
嵐	あらし	嵐，砂嵐	　
安	アン　やすい	安全，安価，不安安い，安らかだ	　
案	アン	案文，案内，新案	　
暗	アン　くらい	暗示，暗愚，明暗暗い，暗がり	　
以	イ	以上，以内，以後	　
衣	イ　ころも	衣服，衣食住，作業衣衣，羽衣	浴衣（ゆかた）
位	イ　くらい	位置，第一位，各位位，位取り，位する	「三位一体」，「従三位」は，「サンミイッタイ」，「ジュサンミ」。
囲（圍）	イ　かこむ　かこう	囲碁，包囲，範囲囲む，囲み囲う，囲い	　
医（醫）	イ	医学，医療，名医	　
依	イ　　エ	依頼，依拠，依然帰依	　
委	イ　ゆだねる	委任，委員，委細委ねる	　
威	イ	威力，威圧，示威	　
為（爲）	イ	為政者，行為，作為	為替（かわせ）
畏	イ　おそれる	畏敬，畏怖畏れる，畏れ	⇔恐れる
胃	イ	胃腸，胃酸，胃弱	　
尉	イ	尉官，一尉，大尉	　
異	イ　こと	異論，異同，奇異異にする，異なる	　
移	イ　うつる　うつす	移転，移民，推移移る，移り変わり移す	　
萎	イ　なえる	萎縮萎える	　
偉	イ　えらい	偉大，偉人，偉観偉い，偉ぶる	　
椅	イ	椅子	　
彙	イ	語彙	＊［（付）第２の３【剝】参照］
意	イ	意見，意味，決意	意気地（いくじ）
違	イ　ちがう　ちがえる	違反，違法，相違違う，違い，間違う違える，見違える，間違える	　
維	イ	維持，維新，繊維	　
慰	イ　なぐさめる　なぐさむ	慰安，慰問，慰労慰める，慰め慰む，慰み	　
遺	イ　　ユイ	遺棄，遺産，遺失遺言	「遺言」は，「イゴン」とも。
緯	イ	緯度，北緯，経緯	　
域	イキ	域内，地域，区域	　
育	イク　そだつ　そだてる　はぐくむ	育児，教育，発育育つ，育ち育てる，育て親育む	　
一	イチ　イツ　ひと　ひとつ	一度，一座，第一一般，同一，統一一息，一筋，一月目一つ	一日（ついたち）一人（ひとり）
壱（壹）	イチ	壱万円	　
逸（逸）	イツ	逸話，逸品，逸する	　
茨	　いばら		茨城県
芋	いも	芋，里芋，焼き芋	　
引	イン　ひく　ひける	引力，引退，索引引く，字引引ける	⇔弾く
印	イン　しるし	印刷，印象，調印印，目印，矢印	　
因	イン　よる	因果，原因，要因因る，……に因る	　
咽	イン	咽喉	　
姻	イン	姻族，婚姻	　
員	イン	満員，定員，社員	　
院	イン	院内，議院，病院	　
淫	イン　みだら	淫行，淫乱淫らだ	＊［（付）第２の３参照］
陰	イン　かげ　かげる	陰気，陰性，光陰陰，日陰陰る，陰り	⇔影
飲	イン　のむ	飲料，飲食，痛飲飲む，飲み水	　
隠（隱）	イン　かくす　かくれる	隠居，隠忍，隠語隠す隠れる，雲隠れ	　
韻	イン	韻律，韻文，音韻	　
右	ウ　ユウ　みぎ	右岸，右折，右派左右，座右右，右手	　
宇	ウ	宇宙，気宇，堂宇	　
羽	ウ　は　　はね	羽毛，羽化，羽翼白羽の矢，一羽（わ），三羽（ば），六羽（ぱ）羽，羽飾り	「羽（は）」は，前に来る音によって「わ」，「ば」，「ぱ」になる。
雨	ウ　あめ　　あま	雨量，降雨，梅雨雨，大雨雨雲，雨戸，雨具	五月雨（さみだれ）時雨（しぐれ）梅雨（つゆ）「春雨」，「小雨」，「霧雨」などは，「はるさめ」，「こさめ」，「きりさめ」。
